,Pop2010,IntUse2010,FaceUse2010,Pop2015,LandAream2,LandAreak2,VehiclesPer1000,GiniCoeff,PovRate1,NPov000s,Rovrate2,PovRate3,Pop2010x,Densitym2,Murd,GunMurd,GunOwnPC,murd.pop2010x,V_Relig,EmitCO2,Pop2014,EmitRate,ObeseAd,OverweAd,ObeseCh,pHigh,pBatDeg,pAdDeg,NinJail,NJailper100k,pcRenew,pcRenewNOhydro,RenElec,RenElecNOhydro,TotalElec,pcUnion,Nunion,WorkPop,Nbillionaires,Collectivism,Ln.Firms.per.capita.,land.water.Total.Area.,Water.Area,Population.Density,Unemployment.Rates
Pop2010,1,0.996257557,0.993385069,0.999080372,0.124703081,0.124703103,-0.255708564,0.521490346,0.207096606,0.987520451,0.244653646,0.571881041,0.999725481,0.176336622,0.976258593,0.964208767,-0.298244666,0.325912215,0.026872562,0.807353164,0.99939412,-0.256783667,-0.027565464,-0.066969373,0.16389955,-0.448567886,0.126390709,0.171454246,0.947193709,0.118204277,-0.168784495,-0.084833892,0.545027021,0.740050646,0.796097898,0.162694717,0.859760614,0.99864889,0.882984457,0.244268895,-0.173220247,0.11668145,0.042048926,0.172657547,0.25090119
IntUse2010,0.996257557,1,0.993481204,0.993449016,0.106580792,0.106580814,-0.256295719,0.511389166,0.165132161,0.974853733,0.213948501,0.564780326,0.995678096,0.207734192,0.96603957,0.953816004,-0.329637067,0.30215967,-0.019863923,0.762062754,0.994142541,-0.274257636,-0.073839384,-0.110002677,0.120914842,-0.406598157,0.171181654,0.212722355,0.922107945,0.070667055,-0.151834292,-0.07550474,0.547013435,0.714820797,0.75311532,0.208229705,0.888395569,0.994261763,0.897535785,0.227058999,-0.149835453,0.101119355,0.045602287,0.203970543,0.246705268
FaceUse2010,0.993385069,0.993481204,1,0.991248739,0.124722815,0.124722835,-0.249989728,0.506134259,0.162304916,0.972361592,0.20128441,0.552636499,0.992552811,0.191823298,0.966891767,0.950484812,-0.32103131,0.302174588,-0.008064415,0.788162082,0.99179786,-0.261479058,-0.064219684,-0.101660644,0.128869961,-0.406959238,0.175333775,0.206694334,0.928222957,0.074571206,-0.141621325,-0.074639323,0.569057361,0.734513085,0.782906142,0.197812594,0.869597568,0.992638405,0.877028764,0.220489334,-0.147403476,0.116088853,0.037831301,0.188437264,0.242548451
Pop2015,0.999080372,0.993449016,0.991248739,1,0.136628683,0.136628705,-0.254841587,0.513537451,0.206998078,0.990757245,0.238579295,0.572939452,0.999431635,0.167610504,0.975905661,0.964359607,-0.286679061,0.320414405,0.031271268,0.816526945,0.999961441,-0.251961644,-0.029482577,-0.067170941,0.164614971,-0.452428325,0.122563633,0.16210469,0.955314339,0.125420101,-0.163378607,-0.077777371,0.552314178,0.754233679,0.804717205,0.143757545,0.843810657,0.998666317,0.880496545,0.245718481,-0.168228944,0.127052324,0.040709282,0.163835924,0.243202016
LandAream2,0.124703081,0.106580792,0.124722815,0.136628683,1,1,0.106214926,-0.223270821,-0.003412998,0.162848097,0.044424697,0.036404479,0.124822554,-0.347513189,0.126903879,0.120407364,0.417153473,0.044317953,-0.065806038,0.22713353,0.134227822,0.262803448,0.068597151,0.106249676,-0.185360718,0.039486687,-0.119616211,-0.20859355,0.18324907,0.232104023,0.117099548,0.017968084,0.200450521,0.302568252,0.160194447,0.113420475,0.043514233,0.126951969,0.146086725,-0.148283288,0.115467452,0.995864166,0.773576878,-0.346546035,0.145455232
LandAreak2,0.124703103,0.106580814,0.124722835,0.136628705,1,1,0.106214935,-0.22327083,-0.003413005,0.162848118,0.044424693,0.036404491,0.124822575,-0.347513187,0.126903897,0.120407382,0.417153461,0.044317937,-0.065806059,0.227133539,0.134227843,0.262803438,0.068597139,0.106249679,-0.185360704,0.039486686,-0.119616211,-0.208593555,0.183249087,0.232104007,0.117099561,0.017968108,0.200450531,0.302568278,0.160194443,0.113420482,0.043514258,0.126951991,0.146086758,-0.148283287,0.115467463,0.995864163,0.773576863,-0.346546033,0.145455214
VehiclesPer1000,-0.255708564,-0.256295719,-0.249989728,-0.254841587,0.106214926,0.106214935,1,-0.415956029,-0.227212345,-0.237583933,-0.264090255,-0.487496312,-0.254696385,-0.186087038,-0.23728115,-0.211145436,0.191072643,-0.243314963,0.060558597,-0.171523664,-0.254527598,0.471860404,0.107491375,0.245135747,-0.151524665,0.378266225,-0.108745993,-0.214033185,-0.233870417,-0.064273651,0.167799802,0.135148405,-0.032626378,-0.051846426,-0.20341503,-0.084574278,-0.212406892,-0.256709414,-0.211561458,-0.284092183,0.302609972,0.11306901,0.133798676,-0.185898262,-0.341192995
GiniCoeff,0.521490346,0.511389166,0.506134259,0.513537451,-0.223270821,-0.22327083,-0.415956029,1,0.527307263,0.51327859,0.408647386,0.569113631,0.520593404,0.432105389,0.557410179,0.546163194,-0.251982581,0.563968298,0.202033669,0.399579143,0.515048446,-0.333134933,0.116217517,0.062401869,0.47389952,-0.70540704,0.072545477,0.298390392,0.508300191,0.293540784,-0.319825548,-0.34694954,0.129341784,0.153045028,0.472680203,0.093777627,0.465342562,0.50931922,0.45338319,0.337028175,-0.281278037,-0.223537761,-0.183884634,0.430669735,0.564895995
PovRate1,0.207096606,0.165132161,0.162304916,0.206998078,-0.003412998,-0.003413005,-0.227212345,0.527307263,1,0.291706884,0.725594111,0.505432644,0.207461424,-0.258734447,0.278894339,0.288976222,0.319892133,0.536843471,0.600179444,0.289988399,0.20645169,-0.064601316,0.602085855,0.500480659,0.634830596,-0.842396663,-0.678382021,-0.489758463,0.321500575,0.677956892,-0.178112108,-0.278290545,0.092583137,0.084555882,0.354520479,-0.32231961,0.049416411,0.176883063,0.10666657,0.272767709,-0.527907007,-0.018137714,-0.107393923,-0.256972099,0.614435425
NPov000s,0.987520451,0.974853733,0.972361592,0.990757245,0.162848097,0.162848118,-0.237583933,0.51327859,0.291706884,1,0.295316882,0.606199989,0.988488717,0.105508831,0.974435635,0.965754529,-0.224795856,0.340940374,0.085612502,0.833121344,0.990237647,-0.220181951,0.029663805,-0.009341789,0.216813107,-0.515818417,0.025790602,0.069736804,0.965897006,0.187835834,-0.157280287,-0.073798091,0.552834942,0.771389592,0.81906817,0.092391632,0.807452855,0.984097985,0.868912684,0.256654125,-0.186663484,0.151223928,0.047449421,0.101916588,0.272755031
