State,Region,State Abbreviation,GiniCoeff,PovRate1,V_Relig,pHigh,netpHigh,netpHigh_label,netpHigh_dummy,pBatDeg,netpBatDeg,netpBatDeg_label,netpBatDeg_dummy,pAdDeg,pAdDe_label,pAdDeg_dummy,Pop2010,count_of_Grand Total,successful_rate,education_leverage,"(high,Ba,Ad)"
Alabama,South,AL,0.472,0.192,56,0.821,0.601,high-pHigh,1,0.22,0.143,low-pBatDeg,0,0.077,low-pAdDeg,0,4758191,33,0.363636364,1,"(1,0,0)"
Alaska,West,AK,0.422,0.114,28,0.914,0.648,high-pHigh,1,0.266,0.176,high-pBatDeg,2,0.09,low-pAdDeg,0,705813,20,0.35,3,"(1,1,0)"
Arizona,West,AZ,0.455,0.182,35,0.842,0.586,low-pHigh,0,0.256,0.163,low-pBatDeg,0,0.093,low-pAdDeg,0,6665093,125,0.288,0,"(0,0,0)"
Arkansas,South,AR,0.458,0.187,54,0.824,0.635,high-pHigh,1,0.189,0.128,low-pBatDeg,0,0.061,low-pAdDeg,0,2919815,21,0.380952381,1,"(1,0,0)"
California,West,CA,0.471,0.164,35,0.806,0.507,low-pHigh,0,0.299,0.192,high-pBatDeg,2,0.107,high-pAdDeg,4,37350092,2176,0.395220588,6,"(0,1,1)"
Colorado,West,CO,0.457,0.121,33,0.893,0.534,low-pHigh,0,0.359,0.232,high-pBatDeg,2,0.127,high-pAdDeg,4,5077553,138,0.347826087,6,"(0,1,1)"
Connecticut,Northeast,CT,0.486,0.108,31,0.886,0.53,low-pHigh,0,0.356,0.201,high-pBatDeg,2,0.155,high-pAdDeg,4,3555261,70,0.328571429,6,"(0,1,1)"
Delaware,South,DE,0.44,0.13,33,0.874,0.587,low-pHigh,0,0.287,0.173,low-pBatDeg,0,0.114,high-pAdDeg,4,894424,7,0.285714286,4,"(0,0,1)"
Florida,South,FL,0.474,0.166,39,0.853,0.6,high-pHigh,1,0.253,0.163,low-pBatDeg,0,0.09,low-pAdDeg,0,18732783,348,0.267241379,1,"(1,0,0)"
Georgia,South,GA,0.468,0.184,48,0.839,0.564,low-pHigh,0,0.275,0.176,high-pBatDeg,2,0.099,high-pAdDeg,4,9932505,277,0.339350181,6,"(0,1,1)"
Hawaii,West,HI,0.433,0.115,33,0.904,0.608,high-pHigh,1,0.296,0.197,high-pBatDeg,2,0.099,high-pAdDeg,4,1308789,28,0.392857143,7,"(1,1,1)"
Idaho,West,ID,0.433,0.148,42,0.884,0.645,high-pHigh,1,0.239,0.164,low-pBatDeg,0,0.075,low-pAdDeg,0,1562046,35,0.314285714,1,"(1,0,0)"
Illinois,Midwest,IL,0.465,0.143,39,0.864,0.558,low-pHigh,0,0.306,0.189,high-pBatDeg,2,0.117,high-pAdDeg,4,13046084,417,0.458033573,6,"(0,1,1)"
Indiana,Midwest,IN,0.44,0.152,45,0.866,0.641,high-pHigh,1,0.225,0.144,low-pBatDeg,0,0.081,low-pAdDeg,0,6490613,67,0.358208955,1,"(1,0,0)"
Iowa,Midwest,IA,0.427,0.123,41,0.914,0.663,high-pHigh,1,0.251,0.177,high-pBatDeg,2,0.074,low-pAdDeg,0,3039465,29,0.24137931,3,"(1,1,0)"
Kansas,Midwest,KS,0.445,0.135,45,0.897,0.602,high-pHigh,1,0.295,0.193,high-pBatDeg,2,0.102,high-pAdDeg,4,2848369,23,0.47826087,7,"(1,1,1)"
Kentucky,South,KY,0.466,0.19,47,0.817,0.607,high-pHigh,1,0.21,0.125,low-pBatDeg,0,0.085,low-pAdDeg,0,4359450,50,0.4,1,"(1,0,0)"
Louisiana,South,LA,0.475,0.199,54,0.822,0.608,high-pHigh,1,0.214,0.145,low-pBatDeg,0,0.069,low-pAdDeg,0,4539283,127,0.42519685,1,"(1,0,0)"
Maine,Northeast,ME,0.437,0.14,25,0.902,0.633,high-pHigh,1,0.269,0.173,low-pBatDeg,0,0.096,low-pAdDeg,0,1332155,64,0.46875,1,"(1,0,0)"
