wage,hours,IQ,educ,exper,tenure,age,married,south,urban,sibs,brthord,meduc,feduc
866,40,85,12,11,12,30,1,1,0,8,5,6,0
926,55,64,12,18,0,38,1,0,1,4,5,0,2
1400,40,92,12,15,5,36,1,1,1,2,1,6,2
400,50,68,12,4,9,31,1,1,1,6,1,6,2
950,40,96,12,14,2,35,1,0,1,1,1,8,2
560,49,112,16,13,2,32,1,1,0,3,1,8,2
1201,50,98,11,17,16,36,1,1,0,4,5,11,2
855,45,89,12,6,6,31,1,1,0,4,3,3,3
1040,48,108,12,16,17,35,1,1,1,6,7,7,3
812,40,81,10,17,13,34,1,1,1,2,2,8,3
751,40,104,12,15,4,34,1,1,1,4,3,8,3
685,40,93,12,17,7,38,0,1,1,6,6,8,3
788,40,99,12,10,10,28,1,1,1,4,5,10,3
1000,40,89,12,17,8,38,1,1,1,7,7,1,4
370,32,73,12,13,2,31,1,1,0,9,2,3,4
1160,40,74,12,14,1,33,1,1,1,9,6,3,4
1001,34,77,12,12,3,29,1,1,1,9,8,3,4
995,40,92,9,22,13,38,1,0,1,7,3,7,4
618,40,84,14,6,8,31,0,1,1,7,8,7,4
818,47,92,12,16,17,38,1,0,0,12,1,8,4
962,50,105,14,15,2,37,1,1,1,3,4,8,4
600,40,107,12,16,6,33,1,0,0,5,6,8,4
700,40,81,12,13,13,31,1,1,0,5,6,8,4
440,40,84,12,11,2,30,1,1,1,5,3,9,4
450,64,67,12,11,1,33,0,0,1,6,1,11,4
1333,45,112,16,14,8,38,1,1,1,1,2,12,4
721,40,100,12,8,8,29,1,1,1,3,2,12,4
1058,40,120,16,16,13,37,1,0,0,5,4,12,4
1175,45,111,12,17,14,34,1,0,1,0,1,16,4
817,40,101,16,11,9,32,1,1,1,1,2,0,5
800,40,88,12,16,7,38,1,0,1,3,2,2,5
550,40,95,12,14,13,31,1,1,0,0,1,5,5
662,45,99,14,7,2,28,1,1,0,6,1,5,5
790,40,115,12,15,2,34,1,0,0,6,5,6,5
692,50,95,12,16,9,34,1,1,1,2,2,7,5
375,40,99,10,12,2,30,1,1,0,3,2,8,5
2500,60,82,12,21,1,38,1,1,0,3,3,8,5
1027,45,115,12,16,7,35,1,0,1,4,3,8,5
865,40,111,16,11,4,31,1,1,1,4,5,8,5
1015,40,67,12,15,11,32,1,0,1,3,2,9,5
769,55,105,18,7,15,38,0,0,1,2,3,9,5
750,45,93,11,17,2,36,1,0,1,1,2,10,5
630,40,103,15,14,2,32,1,1,0,0,1,11,5
1250,40,91,12,13,1,34,1,0,1,3,1,11,5
477,60,71,9,12,1,30,1,0,0,4,2,11,5
761,48,95,12,14,21,38,1,1,1,1,1,12,5
200,55,103,10,11,15,32,1,1,1,3,2,12,5
1154,45,111,15,13,1,36,1,0,0,2,3,14,5
765,45,94,12,17,18,37,1,0,0,10,6,4,6
600,40,87,10,20,7,36,1,1,0,0,1,5,6
500,70,83,12,13,11,32,1,0,1,5,1,6,6
642,45,93,12,12,7,30,1,1,1,1,2,6,6
1200,50,84,12,13,9,32,1,0,1,5,2,6,6
472,45,71,11,9,0,32,1,1,1,13,6,6,6
855,40,109,12,17,15,36,1,0,0,3,1,7,6
900,40,78,12,16,5,33,1,0,1,4,1,7,6
610,50,89,12,14,4,30,1,0,0,1,2,7,6
390,59,74,15,10,3,30,1,1,1,3,3,7,6
400,40,88,12,14,1,32,1,1,1,7,7,7,6
480,40,59,10,11,5,34,0,0,1,0,1,8,6
571,40,66,9,15,10,33,1,1,0,5,1,8,6
729,47,122,18,6,13,34,1,0,1,3,3,8,6
900,40,103,12,15,1,37,1,1,0,3,3,8,6
621,43,84,12,14,10,31,1,1,0,4,3,8,6
826,40,114,14,20,3,37,1,0,1,4,4,8,6
441,38,74,12,12,11,30,1,1,0,4,4,8,6
1202,40,102,13,10,3,31,1,1,1,7,7,8,6
1010,50,104,11,15,7,38,1,0,0,6,1,9,6
750,40,83,12,4,10,32,1,1,0,7,1,10,6
900,40,98,14,1,8,30,1,1,0,7,2,10,6
1196,45,96,14,10,4,32,1,1,0,2,3,10,6
624,40,92,10,18,10,36,1,1,0,2,3,10,6
629,60,93,12,6,1,30,1,1,0,8,3,10,6
950,40,81,11,16,5,35,1,1,0,3,4,10,6
1140,48,109,12,16,15,35,1,0,1,2,2,11,6
500,40,101,14,12,0,32,1,0,0,2,2,11,6
500,45,90,12,19,4,37,1,0,0,0,1,12,6
850,40,97,11,16,5,37,1,1,1,1,1,12,6
729,60,80,11,16,15,34,1,0,1,6,1,12,6
417,48,131,12,7,1,28,0,0,1,1,2,12,6
1072,42,104,16,6,8,35,1,0,1,2,2,12,6
937,40,102,12,16,8,35,1,0,1,3,2,12,6
675,40,77,12,20,4,38,1,1,1,5,2,12,6
1442,40,123,17,14,7,38,1,1,0,2,3,12,6
723,40,102,12,12,10,30,1,0,1,10,6,12,6
606,40,86,11,13,11,30,1,1,0,4,4,3,7
425,40,86,10,7,1,30,1,1,0,4,4,3,7
1200,40,103,14,5,2,30,1,0,1,1,1,6,7
680,40,86,12,13,9,32,0,1,0,6,1,6,7
380,50,106,12,15,11,30,1,1,0,2,1,7,7
769,45,105,12,16,5,33,1,1,0,4,1,7,7
1100,37,100,12,14,1,30,1,0,1,1,2,7,7
890,60,92,14,9,8,32,1,0,1,1,2,7,7
635,47,91,12,13,2,31,1,0,1,2,2,7,7
