ACT,priorGPA,termGPA,attendPC,hwPC,year,final
23,2.64,3.19,84.375,100,2,28
25,3.52,2.73,68.75,87.5,3,26
24,2.46,3,93.75,87.5,3,30
20,2.61,2.04,96.875,100,2,27
23,3.32,3.68,100,100,2,34
26,2.93,3.23,90.625,100,2,25
21,1.94,1.54,93.75,75,1,10
22,2.12,2,81.25,100,2,34
24,2.06,2.25,75,100,1,26
21,2.73,3,90.625,100,2,26
16,2.29,3.21,93.75,100,3,27
24,2.29,2.05,59.375,50,1,22
24,2.64,2.13,59.375,75,3,27
27,3.39,3.58,90.625,100,2,33
25,2.76,2.5,90.625,62.5,2,29
20,2.33,2.1,93.75,100,1,23
22,1.98,1.27,62.5,75,2,22
25,2.29,2.77,100,100,2,21
18,3.02,3.15,96.875,100,1,25
22,2.33,2.38,90.625,100,2,22
21,2.54,1.77,84.375,75,1,24
23,2.39,2.33,78.125,100,2,27
21,2.43,2.33,96.875,100,2,19
28,3.88,3.88,68.75,75,2,33
26,2.58,3.29,84.375,87.5,3,33
29,3.36,3.8,90.625,100,2,31
28,3.02,3.5,100,100,3,32
16,2.12,2.14,78.125,100,2,22
23,2.37,2.88,93.75,75,1,30
22,2.93,3.27,78.125,100,2,27
28,2.02,3.29,84.375,87.5,1,30
21,2.78,2.56,84.375,100,3,26
29,2.85,3.25,71.875,62.5,3,25
22,2.28,2.71,100,100,2,28
16,3.46,2.86,96.875,100,2,27
25,2.63,2.5,78.125,100,2,23
22,2.19,2.15,56.25,62.5,2,32
21,3.57,3.5,100,87.5,2,32
18,1.98,2.16,96.875,100,1,26
26,3.05,2.4,75,25,2,19
25,3.45,3.54,96.875,100,2,31
23,2.63,3.65,96.875,100,2,31
24,2.62,2.5,100,100,3,19
18,2.13,2.12,78.125,87.5,2,24
18,2.42,2.5,96.875,100,2,26
29,3.43,3.81,100,100,2,34
21,2.35,3.1,93.75,50,1,19
26,3.61,3.14,93.75,100,2,24
24,2.86,3,93.75,87.5,2,29
30,2.05,1.21,31.25,NA,1,29
29,2.95,2.18,59.375,87.5,2,23
19,2.41,2.81,93.75,87.5,2,20
23,2.32,2.1,53.125,100,2,27
21,2.3,2.07,84.375,87.5,2,25
21,1.79,1.36,84.375,62.5,1,22
21,2.3,3,84.375,87.5,2,30
20,2.48,1.96,87.5,100,2,21
22,2.87,2.86,93.75,100,1,35
25,2.02,2.61,93.75,87.5,1,24
21,2.66,2.71,93.75,87.5,2,23
25,2.81,2.89,96.875,100,2,23
21,2.34,2.86,81.25,100,3,28
27,2.53,2.35,78.125,50,2,31
19,2.09,2.64,75,100,2,21
21,2.67,3.29,59.375,87.5,2,35
25,1.9,1.54,68.75,87.5,2,18
21,2.8,3.32,87.5,100,1,21
25,3.93,4,100,100,2,35
26,2.55,2.63,90.625,100,2,25
21,2.17,2.38,59.375,75,1,22
18,1.58,1.3,62.5,62.5,2,21
20,2.12,2.76,90.625,100,1,29
14,2.2,2.33,81.25,75,3,20
27,2.02,2.64,81.25,12.5,1,29
23,3.45,2.31,71.875,62.5,2,25
20,1.96,2.23,84.375,62.5,2,20
23,2.78,2.31,96.875,100,2,24
27,3.59,3.88,96.875,87.5,3,35
15,2,2.38,90.625,100,1,19
27,3.59,3.22,96.875,100,2,25
25,2.04,2.26,75,100,3,28
20,2.12,0.75,78.125,62.5,2,22
20,3.35,2.85,93.75,75,2,28
19,2.41,1.65,100,62.5,1,25
16,2.56,2.92,93.75,100,2,20
20,2.36,2.5,71.875,75,2,26
