State,Pop2010,IntUse2010,FaceUse2010,Pop2015,LandAream2,LandAreak2,VehiclesPer1000,GiniCoeff,PovRate1,NPov000s,Rovrate2,PovRate3,Pop2010x,Densitym2,Murd,GunMurd,GunOwnPC,0,V_Relig,EmitCO2,Pop2014,EmitRate,ObeseAd,OverweAd,ObeseCh,pHigh,pBatDeg,pAdDeg,NinJail,NJailper100k,pcRenew,pcRenewNOhydro,RenElec,RenElecNOhydro,TotalElec,pcUnion,Nunion,WorkPop,RIght2Work,Nbillionaires,Collectivism,Ln(Firms per capita)
Alabama,4758191,3092273,1599260,4855071,50645,131169.9,1030,0.472,0.192,905,0.168,0.135,4779736,94.65,199,135,0.489,4.16341E-05,56,121,4849377,25.05,0.301,0.654,0.167,0.821,0.22,0.077,46000,1230,8.8,2.18,13462,3329,152967,10.2,190000,1863000,Yes,0,57,-2.226664577
Alaska,705813,593193,336440,740405,570641,1477953.4,960,0.422,0.114,81,0.121,0.125,710231,1.264,31,19,0.617,4.36478E-05,28,35,736732,47.17,0.273,0.645,0.111,0.914,0.266,0.09,5100,940,29,3.57,1759,217,6073,19.6,60000,304000,No,0,48,-1.964074575
Arizona,6665093,5230474,2448140,6826302,113594,294207.1,660,0.455,0.182,1195,0.213,0.188,6392017,57.05,352,232,0.323,5.50687E-05,35,93,6731484,13.79,0.233,0.595,0.122,0.842,0.256,0.093,55200,1090,9.5,3.7,10734,4199,113351,5.2,138000,2661000,Yes,9,49,-2.285661648
Arkansas,2919815,1949869,989820,2977410,52035,134770,700,0.458,0.187,539,0.191,0.165,2915918,56.43,130,93,0.579,4.45829E-05,54,69,2966369,23.13,0.281,0.647,0.164,0.824,0.189,0.061,22800,1010,9.3,2.69,5159,1496,55682,5.1,58000,1155000,Yes,5,54,-2.113069644
California,37350092,29758896,16673720,39141723,155779,403465.8,840,0.471,0.164,6253,0.155,0.238,37253956,244.2,1811,1257,0.201,4.86123E-05,35,359,38802500,9.26,0.231,0.594,0.132,0.806,0.299,0.107,218800,750,30.5,23.5,60359,46498,197994,15.9,2486000,15657000,No,124,60,-2.067481946
Colorado,5077553,4058749,2369420,5450364,103642,268431.5,340,0.457,0.121,632,0.124,0.137,5029196,49.33,117,65,0.343,2.32642E-05,33,91,5355866,16.95,0.21,0.55,0.099,0.893,0.359,0.127,32100,790,17.8,15,9354,7862,52515,8.4,194000,2310000,No,10,36,-1.89937881
Connecticut,3555261,3074229,1398220,3590615,4842,12540.7,860,0.486,0.108,376,0.106,0.125,3574097,741.4,131,97,0.166,3.66526E-05,31,35,3596677,9.77,0.208,0.587,0.123,0.886,0.356,0.155,17600,620,3.42,2.2,1289,829,37649,17,269000,1587000,No,12,50,-1.994489671
Delaware,894424,719500,216140,945913,1949,5047.9,950,0.44,0.13,118,0.124,0.139,897934,470.7,48,38,0.052,5.3456E-05,33,13,935614,14.24,0.259,0.639,0.228,0.874,0.287,0.114,7000,960,1.86,1.86,144,144,7729,9.2,38000,412000,No,0,55,-2.131126454
District of Columbia,605959,463503,1576360,#N/A,#N/A,#N/A,350,0.532,0.184,114,0.18,0.227,601723,10298,131,99,0.259,0.000217708,#N/A,3,658893,4.55,0.221,0.55,0.148,0.871,0.485,0.28,2400,450,#N/A,#N/A,#N/A,#N/A,#N/A,10.4,35000,334000,No,#N/A,#N/A,#N/A
Florida,18732783,14764418,7839520,20267012,53625,138888.1,710,0.474,0.166,3231,0.146,0.195,19687653,360.2,987,669,0.325,5.01329E-05,39,227,19893297,11.41,0.233,0.608,0.144,0.853,0.253,0.09,154500,990,2.2,2.1,5215,4992,237338,6.8,546000,7994000,Yes,44,54,-1.969408509
Georgia,9932505,7597608,4841900,10216414,57513,148958,820,0.468,0.184,1298,0.185,0.182,9920000,165,527,376,0.316,0.000053125,48,139,10097343,13.76,0.275,0.633,0.164,0.839,0.275,0.099,91600,1220,5.9,3.53,7546,4525,128259,4,162000,4016000,Yes,9,60,-2.184852888
Hawaii,1308789,1081506,597100,1432002,6423,16635.5,760,0.433,0.115,158,0.126,0.173,1360301,216.8,24,7,0.451,1.76432E-05,33,18,1419561,12.82,0.207,0.553,0.133,0.904,0.296,0.099,5600,510,13.7,12.6,1358,1248,9930,20.4,119000,583000,No,1,91,-2.097240305
Idaho,1562046,1284500,518060,1650501,82643,214044.4,790,0.433,0.148,237,0.139,0.118,1567582,19.5,21,12,0.569,1.33964E-05,42,17,1634464,10.18,0.246,0.614,0.101,0.884,0.239,0.075,10200,860,74.6,20.8,11314,3152,15170,6.8,46000,679000,Yes,3,#N/A,#N/A
Illinois,13046084,10243294,7152340,12856670,55519,143793.5,750,0.465,0.143,1802,0.133,0.152,12830632,231.9,706,364,0.262,5.50246E-05,39,233,12880580,18.12,0.253,0.618,0.158,0.864,0.306,0.117,69300,700,5.9,5.9,11492,11359,194103,15.2,847000,5566000,No,17,52,-2.132452547
Indiana,6490613,4770355,2225460,6622886,35826,92788.9,610,0.44,0.152,968,0.164,0.142,6483802,182.5,198,142,0.338,3.05376E-05,45,203,6596855,30.81,0.275,0.628,0.156,0.866,0.225,0.081,45400,910,5.3,4.94,5513,5131,103840,10,283000,2828000,Yes,4,57,-2.209063834
Iowa,3039465,2354728,922240,3123628,55857,144669,1050,0.427,0.123,368,0.109,0.086,3046355,54.81,38,21,0.338,1.24739E-05,41,83,3107126,26.78,0.263,0.634,0.125,0.914,0.251,0.074,12700,530,33.1,31.7,18945,18139,57172,9.6,138000,1435000,Yes,1,39,-2.049460383
Kansas,2848369,2248721,1312240,2905831,81759,211754.8,830,0.445,0.135,381,0.139,0.115,2853118,35.09,100,63,0.322,3.50494E-05,45,70,2904021,23.97,0.258,0.623,0.14,0.897,0.295,0.102,16600,760,24,24,10997,10997,45781,8.7,110000,1255000,Yes,2,38,-2.053761689
Kentucky,4359450,2997542,1598020,4420211,39486,102268.3,840,0.466,0.19,812,0.171,0.136,4339367,110,180,116,0.424,4.14807E-05,47,138,4413457,31.19,0.284,0.668,0.206,0.817,0.21,0.085,32100,950,4.64,0.53,3858,438,83232,11,187000,1705000,No,1,53,-2.183489233
Louisiana,4539283,3071973,1643860,4668245,43204,111897.8,910,0.475,0.199,898,0.143,0.185,4533372,105,437,351,0.445,9.63962E-05,54,207,4649676,44.5,0.295,0.642,0.172,0.822,0.214,0.069,50100,1420,3.46,2.54,3728,2729,107643,5.8,107000,1847000,Yes,1,72,-2.096172353
Maine,1332155,1102933,536480,1327696,30843,79883,780,0.437,0.14,181,0.116,0.112,1328361,43.04,24,11,0.226,1.80674E-05,25,17,1330089,12.52,0.237,0.608,0.127,0.902,0.269,0.096,3800,350,66.3,36.6,8059,4444,12157,11.6,64000,549000,No,1,45,-1.834503845
Maryland,5759373,4737650,2363480,6005953,9707,25141,790,0.443,0.104,604,0.096,0.101,5773552,606.2,424,293,0.207,7.34383E-05,28,62,5976407,10.38,0.252,0.615,0.133,0.89,0.373,0.16,32700,710,7.5,3.07,2743,1116,36390,10.4,287000,2757000,No,8,63,-2.095185865
Massachusetts,#N/A,#N/A,#N/A,6794239,7800,20201.9,820,0.475,0.117,760,0.109,0.138,6547629,852.1,209,118,0.226,3.192E-05,28,64,6745408,9.49,0.209,0.568,0.136,0.89,0.382,0.164,21400,400,9.4,6.6,3036,2120,32291,12.9,402000,3103000,No,10,46,-1.992364264
Michigan,10074498,7899843,3921020,9925454,56539,146435.3,870,0.451,0.162,1567,0.276,0.135,9883640,174.8,558,413,0.288,5.64569E-05,37,162,9909877,16.31,0.277,0.639,0.145,0.879,0.246,0.094,60200,790,7.7,6.4,8802,7330,114160,15.2,621000,4083000,Yes,11,46,-2.156628389
Minnesota,5321556,4370006,2274240,5486049,79627,206233,870,0.44,0.114,607,0.121,0.097,5303925,67.14,91,53,0.367,1.71571E-05,40,94,5457173,17.24,0.248,0.619,0.101,0.917,0.315,0.103,15700,380,21.1,20.2,12114,11600,57499,14.2,363000,2565000,No,5,41,-2.000908394
Mississippi,2983018,1769430,904460,2991663,46923,121530,680,0.468,0.219,634,0.232,0.161,2967297,63.5,165,120,0.428,5.56062E-05,59,64,2994079,21.28,0.344,0.674,0.178,0.804,0.196,0.071,28800,1270,2.27,2.27,1472,1472,64813,5.4,60000,1103000,Yes,0,64,-2.255068704
Missouri,6050503,4380156,2831000,6086335,68742,178041,830,0.455,0.155,908,0.156,0.124,5988927,87.26,419,321,0.271,6.99624E-05,44,131,6063589,21.66,0.274,0.633,0.156,0.868,0.252,0.095,44500,950,3.3,1.39,2755,1158,83610,8.8,230000,2615000,No,6,46,-2.116119668
Montana,985235,725139,369820,1025588,145546,376962.4,1120,0.435,0.152,151,0.135,0.121,989415,6.858,21,12,0.523,2.12247E-05,35,32,1023579,31.51,0.217,0.596,0.111,0.908,0.274,0.083,6000,760,39.5,6.7,11683,1975,29546,12.2,52000,427000,No,4,31,-1.781380635
Nebraska,1815500,1455917,792800,1893899,76824,198973.2,1000,0.432,0.123,167,0.1,0.098,1826341,23.97,51,32,0.198,2.79247E-05,44,52,1881503,27.51,0.265,0.639,0.119,0.898,0.274,0.088,8500,600,11,8.2,4306,3222,39291,7.7,68000,882000,Yes,2,35,-2.013336241
Nevada,2670861,2137074,957680,2893711,109781,284331.5,500,0.448,0.154,430,0.131,0.198,2700551,24.8,158,84,0.375,5.85066E-05,30,37,2839099,13.02,0.236,0.618,0.124,0.839,0.218,0.076,19900,930,19.9,14,7717,5429,38840,14.3,177000,1232000,Yes,8,52,-2.234867813
New Hampshire,1338495,1205558,595580,1330709,8953,23188.2,830,0.425,0.092,117,0.095,0.155,1316470,147,13,5,0.144,9.87489E-06,23,15,1326813,11.25,0.236,0.608,0.129,0.913,0.32,0.112,4800,460,17.2,10.2,3463,2065,20162,9.7,62000,641000,No,1,43,-1.919268568
New Jersey,8799248,7728426,4154820,8898870,7354,19046.8,690,0.464,0.111,972,0.137,0.139,8791894,1189,363,246,0.113,4.1288E-05,34,114,8938175,12.78,0.229,0.605,0.137,0.874,0.345,0.129,37600,540,2.43,2.43,1827,1827,75193,15.4,596000,3880000,No,8,59,-2.050236848
New Mexico,2030790,1380358,516280,2079892,121298,314160.4,770,0.464,0.206,347,0.196,0.161,2059179,17.16,118,67,0.499,5.73044E-05,41,50,2085572,24.07,0.233,0.603,0.168,0.828,0.253,0.104,15500,980,8.7,8.3,2861,2740,32858,6.2,49000,782000,No,0,51,-2.174761862
New York,19746813,16091772,8544640,19797542,47126,122055.8,570,0.499,0.159,2760,0.159,0.181,19378102,415.3,860,517,0.103,4.438E-05,32,170,19746227,8.61,0.235,0.6,0.153,0.847,0.324,0.14,81400,530,24.1,4.68,33644,6541,139731,24.7,2038000,8249000,No,93,53,-1.972252532
North Carolina,9479467,6809315,4004020,10046447,48618,125920,670,0.464,0.172,1663,0.17,0.142,9535483,200.6,445,286,0.287,4.66678E-05,50,126,9943964,12.64,0.271,0.634,0.193,0.843,0.265,0.088,55300,730,7.1,3.29,9176,4239,128944,3,123000,4089000,Yes,3,56,-2.169310349
North Dakota,653642,496207,304260,754800,69001,178711.8,1080,0.433,0.111,79,0.11,0.092,672591,9.916,9,4,0.479,1.33811E-05,44,55,739482,74.81,0.259,0.645,0.121,0.901,0.258,0.067,2700,470,23.4,17.7,8632,6538,36918,5.4,19000,352000,Yes,0,37,-1.947398473
Ohio,11663946,8949773,4747620,11611096,40861,105829.5,910,0.452,0.158,1778,0.135,0.132,11536504,282.5,460,310,0.196,3.98734E-05,39,229,11594163,19.75,0.269,0.633,0.142,0.876,0.241,0.088,69800,780,2.13,1.72,2607,2097,122125,12.3,606000,4914000,No,6,45,-2.172007238
Oklahoma,3725797,2530656,1303220,3909220,68595,177660.2,860,0.454,0.166,623,0.13,0.134,3751351,55.22,188,111,0.312,5.01153E-05,48,104,3878051,26.92,0.281,0.642,0.154,0.856,0.227,0.074,37900,1300,22.2,18.9,16852,14341,76063,5.6,88000,1567000,Yes,5,42,-2.026069143
Oregon,3865861,3327971,1724480,4029471,95988,248607.8,770,0.449,0.164,637,0.0711,0.103,3831074,40.33,78,36,0.266,2.03598E-05,30,38,3970239,9.56,0.25,0.608,0.141,0.891,0.292,0.104,22900,740,68.4,13.5,40274,7971,58857,14.8,235000,1586000,No,2,33,-2.06695975
Pennsylvania,12737230,9909482,5955960,12803066,44743,115883.8,760,0.461,0.136,1679,0.112,0.126,12702379,285.3,646,457,0.271,5.08566E-05,40,242,12787209,18.94,0.257,0.619,0.133,0.879,0.264,0.102,85500,850,3.95,2.76,8535,5951,215871,13.3,747000,5601000,No,10,52,-2.182130864
Rhode Island,1064277,861596,561360,1056269,1034,2678,730,0.467,0.148,149,0.132,0.136,1052567,1006,29,16,0.058,2.75517E-05,32,11,1055173,10.08,0.214,0.604,0.119,0.847,0.305,0.117,3400,400,3.43,3.43,240,240,7001,14.2,68000,483000,No,1,48,-2.054291149
South Carolina,4609176,3086634,1625480,4897090,30061,77857.6,770,0.461,0.179,838,0.138,0.158,4625364,157.1,280,207,0.444,6.05358E-05,54,74,4832482,15.39,0.292,0.651,0.189,0.836,0.243,0.084,32600,880,5.3,2.31,5083,2235,96548,2.1,41000,1960000,Yes,1,70,-2.23127933
South Dakota,820920,598832,326560,860301,75811,196349.6,950,0.442,0.141,115,0.143,0.106,814180,10.86,14,8,0.35,1.71952E-05,45,15,853175,17.91,0.261,0.642,0.121,0.899,0.251,0.073,5300,820,75.3,25.5,7331,2481,9734,5.9,22000,382000,Yes,1,36,-1.92368879
Tennessee,6362421,4638409,2530520,6600926,41235,106798.2,840,0.468,0.182,1165,0.167,0.155,6346105,156.6,356,219,0.394,5.60974E-05,52,103,6549352,15.69,0.29,0.65,0.2,0.831,0.23,0.079,48100,960,14.5,1.59,10962,1201,75417,5.4,146000,2693000,Yes,10,56,-2.130930309
Texas,25042738,17176661,10685000,27475536,261232,676587.8,720,0.469,0.172,4519,0.174,0.164,25145561,98.07,1246,805,0.357,4.95515E-05,47,709,26956958,26.29,0.272,0.641,0.191,0.799,0.255,0.085,221800,1130,10.6,10.5,47956,47159,450604,4.5,503000,11177000,Yes,48,58,-2.135717981
Utah,2813835,2465247,1275660,2999979,82170,212819.3,870,0.419,0.118,341,0.098,0.116,2763885,34.3,52,22,0.319,1.88141E-05,57,64,2942902,21.9,0.218,0.564,0.085,0.904,0.285,0.091,12500,620,4.33,2.91,1821,1225,42044,3.9,50000,1274000,Yes,1,61,-2.072488778
Vermont,628294,513123,248000,625639,9217,23871.9,910,0.444,0.122,72,0.097,0.134,625741,67.73,7,2,0.288,1.11867E-05,22,6,626562,9.38,0.211,0.569,0.113,0.91,0.331,0.133,2100,410,99.8,40.3,2086,842,2091,12.6,36000,284000,No,0,42,-1.729056442
Virginia,7965428,6193567,3101820,8385286,39490,102278.6,840,0.459,0.118,955,0.108,0.133,8001024,207.3,369,250,0.293,4.61191E-05,42,103,8326289,12.42,0.252,0.616,0.138,0.866,0.34,0.141,58800,910,6,4.83,5043,4076,84351,5.4,202000,3736000,Yes,5,60,-2.234822162
Washington,6734229,5772919,3889000,7174007,66456,172120.2,870,0.441,0.132,913,0.119,0.122,6724540,102.6,151,93,0.277,2.24551E-05,30,73,7061530,10.4,0.245,0.607,0.108,0.897,0.31,0.111,29700,550,75.8,8.2,83303,8981,109933,16.8,500000,2977000,No,13,37,-2.179363952
West Virginia,1838901,1296905,527140,1843277,24038,62258.1,750,0.451,0.183,328,0.16,0.129,1852994,77.06,55,27,0.542,2.96817E-05,43,97,1850326,52.47,0.306,0.668,0.209,0.828,0.173,0.067,9700,660,3.71,1.91,2681,1381,72229,12.4,83000,665000,Yes,1,48,-2.319974381
Wisconsin,5714200,4744417,2302820,5776155,54158,140268.6,860,0.43,0.132,737,0.111,0.108,5686986,105.2,151,97,0.347,2.65519E-05,37,101,5757564,17.47,0.255,0.624,0.135,0.898,0.257,0.084,34800,780,8.4,4.97,5574,3314,66679,8.3,223000,2682000,Yes,9,46,-2.191777136
Wyoming,549990,436437,236920,580469,97093,251469.7,1140,0.423,0.106,54,0.093,0.092,563626,5.851,8,5,0.538,1.41938E-05,34,65,584153,111.55,0.24,0.617,0.087,0.918,0.238,0.079,3800,840,9.5,7.7,4629,3768,48932,7.1,19000,261000,Yes,9,35,-1.828252199
Idahoe,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42,-2.005327874
Massachusets,6662878,5745853,3148580,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
