State,Region,GiniCoeff,pAdDeg,successful rate,total_count
Alabama,South,0.472,0.077,0.363636364,33
Alaska,West,0.422,0.09,0.35,20
Arizona,West,0.455,0.093,0.288,125
Arkansas,South,0.458,0.061,0.380952381,21
California,West,0.471,0.107,0.395220588,2176
Colorado,West,0.457,0.127,0.347826087,138
Connecticut,Northeast,0.486,0.155,0.328571429,70
Delaware,South,0.44,0.114,0.285714286,7
Florida,South,0.474,0.09,0.267241379,348
Georgia,South,0.468,0.099,0.339350181,277
Hawaii,West,0.433,0.099,0.392857143,28
Idaho,West,0.433,0.075,0.314285714,35
Illinois,Midwest,0.465,0.117,0.458033573,417
Indiana,Midwest,0.44,0.081,0.358208955,67
Iowa,Midwest,0.427,0.074,0.24137931,29
Kansas,Midwest,0.445,0.102,0.47826087,23
Kentucky,South,0.466,0.085,0.4,51
Louisiana,South,0.475,0.069,0.42519685,127
Maine,Northeast,0.437,0.096,0.46875,64
Maryland,South,0.443,0.16,0.372727273,110
Massachusetts,Northeast,0.475,0.164,0.464163823,293
Michigan,Midwest,0.451,0.094,0.405529954,218
Minnesota,Midwest,0.44,0.103,0.4,110
Mississippi,South,0.468,0.071,0.421052632,19
Missouri,Midwest,0.455,0.095,0.353846154,130
Montana,West,0.435,0.083,0.277777778,18
Nebraska,Midwest,0.432,0.088,0.125,16
Nevada,West,0.448,0.076,0.25,60
New Hampshire,Northeast,0.425,0.112,0.304347826,24
New Jersey,Northeast,0.464,0.129,0.328767123,147
New Mexico,West,0.464,0.104,0.383333333,60
New York,Northeast,0.499,0.14,0.522381573,2301
North Carolina,South,0.464,0.088,0.328947368,152
North Dakota,Midwest,0.433,0.067,0.25,4
Ohio,Midwest,0.452,0.088,0.296089385,179
Oklahoma,South,0.454,0.074,0.25,40
Oregon,West,0.449,0.104,0.469325153,326
Pennsylvania,Northeast,0.461,0.102,0.405660377,318
Rhode Island,Northeast,0.467,0.117,0.542857143,35
South Carolina,South,0.461,0.084,0.363636364,55
South Dakota,Midwest,0.442,0.073,0.333333333,9
Tennessee,South,0.468,0.079,0.458715596,218
Texas,South,0.469,0.085,0.35619469,452
Utah,West,0.419,0.091,0.37037037,81
Vermont,Northeast,0.444,0.133,0.548387097,32
Virginia,South,0.459,0.141,0.410714286,112
Washington,West,0.441,0.111,0.425742574,303
West Virginia,South,0.451,0.067,0.352941176,17
Wisconsin,Midwest,0.43,0.084,0.372881356,59
Wyoming,West,0.423,0.079,0.125,8
