State,Region,State Abbreviation,GiniCoeff,PovRate1,NPov000s,Rovrate2,PovRate3,Densitym2,V_Relig,pHigh,pBatDeg,pAdDeg,Pop2010,count_of_canceled,count_of_failed,count_of_successful,count_of_Grand Total,successful rate,January,February,March,April,May,June,July,August,September,October,November,December,total_count,Art,Comics,Crafts,Dance,Design,Fashion,Film & Video,Food,Games,Journalism,Music,Photography,Publishing,Technology,Theater, pledged_amount_of_canceled, pledged_amount_of_failed, pledged_amount_of_successful, pledged_amount_of_suspended, pledged_amount_of_Grand Total,raising_rate,average_of_goal_canceled,average_of_goal_failed,average_of_goal_successful,average_of_goal_suspended,average_of_goal_Grand Total, average_pledged_amount_of_canceled,  average_pledged_amount_of_failed,  average_pledged_amount_of_successful,  average_pledged_amount_of_suspended,  average_pledged_amount_of_Grand Total
Alabama,South,AL,0.472,0.192,905,0.168,0.135,94.65,56,0.821,0.22,0.077,4758191,3,18,12,33,0.363636364,0,0,0,12,0,0,0,0,0,0,0,21,33,2,1,0,1,1,0,5,2,0,1,13,2,5,0,0,385,4457,156454,0,161296,0.969980657,4833.333333,11691.66667,10835,0,10756.66667,128.3333333,247.6111111,13037.83333,0,4887.757576
Alaska,West,AK,0.422,0.114,81,0.121,0.125,1.264,28,0.914,0.266,0.09,705813,0,13,7,20,0.35,0,0,0,8,0,0,0,0,0,0,0,12,20,3,0,0,1,0,0,4,0,1,0,7,2,2,0,0,0,8104,52471,0,60575,0.866215435,0,6900,7214.285714,0,7010,0,623.3846154,7495.857143,0,3028.75
Arizona,West,AZ,0.455,0.182,1195,0.213,0.188,57.05,35,0.842,0.256,0.093,6665093,10,79,36,125,0.288,0,0,0,35,0,0,0,0,0,0,0,90,125,12,4,1,4,3,3,36,3,7,2,26,5,8,3,8,311,25407.8,204748,0,230466.8,0.888405619,40461.6,10140.50633,4171.666667,0,10847.168,31.1,321.6177215,5687.444444,0,1843.7344
Arkansas,South,AR,0.458,0.187,539,0.191,0.165,56.43,54,0.824,0.189,0.061,2919815,2,11,8,21,0.380952381,0,0,0,5,0,0,0,0,0,0,0,16,21,1,0,0,0,0,1,11,1,0,0,4,1,1,0,1,1571,1678,41775,0,45024,0.927838486,3500,4590.909091,4900,0,4604.761905,785.5,152.5454545,5221.875,0,2144
California,West,CA,0.471,0.164,6253,0.155,0.238,244.2,35,0.806,0.299,0.107,37350092,188,1128,860,2176,0.395220588,0,0,3,691,2,4,2,4,1,4,7,1458,2176,146,50,10,39,29,34,965,48,47,24,447,65,112,42,118,80677,820544.43,5761205,0,6662426.43,0.864730749,13839.63298,12287.83865,5323.47057,0,9669.447468,429.1329787,727.4330053,6699.075581,0,3061.776852
Colorado,West,CO,0.457,0.121,632,0.124,0.137,49.33,33,0.893,0.359,0.127,5077553,10,80,48,138,0.347826087,0,0,0,42,0,0,0,0,1,0,3,92,138,14,0,1,1,1,2,43,4,6,2,30,10,13,7,4,860,70031,269042,0,339933,0.791455963,7005,8015.275,4408.606458,0,6687.573261,86,875.3875,5605.041667,0,2463.282609
Connecticut,Northeast,CT,0.486,0.108,376,0.106,0.125,741.4,31,0.886,0.356,0.155,3555261,6,41,23,70,0.328571429,0,0,0,26,0,0,0,0,0,1,1,42,70,3,1,0,0,2,0,28,1,2,1,15,3,7,1,6,2241,19887,136358,0,158486,0.860378835,11666.66667,8540.487805,5358.695652,0,7763,373.5,485.0487805,5928.608696,0,2264.085714
Delaware,South,DE,0.44,0.13,118,0.124,0.139,470.7,33,0.874,0.287,0.114,894424,0,5,2,7,0.285714286,0,0,0,2,0,0,0,0,0,0,0,5,7,1,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,2505,2295,0,4800,0.478125,0,3160,800,0,2485.714286,0,501,1147.5,0,685.7142857
Florida,South,FL,0.474,0.166,3231,0.146,0.195,360.2,39,0.853,0.253,0.09,18732783,38,217,93,348,0.267241379,0,1,0,101,0,0,1,1,0,0,3,241,348,30,16,1,1,5,10,133,2,15,3,68,14,25,13,12,52940,91029.11,370655,0,514624.11,0.720244141,14343.57895,10394.65438,3351.11828,0,8943.534483,1393.157895,419.4889862,3985.537634,0,1478.804914
Georgia,South,GA,0.468,0.184,1298,0.185,0.182,165,48,0.839,0.275,0.099,9932505,22,161,94,277,0.339350181,0,0,0,117,0,1,0,1,0,1,0,157,277,19,6,2,2,2,2,86,4,5,2,103,10,19,8,7,12638.5,66726.01,431890,0,511254.51,0.844765164,14999.27273,8413.602484,3883.382979,0,7399.3213,574.4772727,414.4472671,4594.574468,0,1845.684152
Hawaii,West,HI,0.433,0.115,158,0.126,0.173,216.8,33,0.904,0.296,0.099,1308789,1,16,11,28,0.392857143,0,0,0,8,0,0,0,0,0,0,0,20,28,4,0,0,2,0,2,8,1,0,0,7,0,3,0,1,50,5563,89363,0,94976,0.940900859,10000,5503.125,7281.818182,0,6362.5,50,347.6875,8123.909091,0,3392
Idaho,West,ID,0.433,0.148,237,0.139,0.118,19.5,42,0.884,0.239,0.075,1562046,2,22,11,35,0.314285714,0,0,0,12,0,0,0,1,0,0,0,22,35,2,0,0,2,1,0,14,3,1,2,7,1,1,0,1,2620,25643,78182,0,106445,0.734482597,13750,77293.95455,6250,0,51334.77143,1310,1165.590909,7107.454545,0,3041.285714
Illinois,Midwest,IL,0.465,0.143,1802,0.133,0.152,231.9,39,0.864,0.306,0.117,13046084,32,194,191,417,0.458033573,0,0,0,143,0,0,0,1,1,0,2,270,417,36,15,2,5,15,4,122,9,10,14,90,21,26,8,40,9137,146785,1892931,0,2048853,0.923897908,18103.75,8408.597938,3780.798272,0,7032.902806,285.53125,756.6237113,9910.633508,0,4913.316547
Indiana,Midwest,IN,0.44,0.152,968,0.164,0.142,182.5,45,0.866,0.225,0.081,6490613,5,38,24,67,0.358208955,0,0,0,28,0,0,1,1,0,0,0,37,67,2,3,1,0,4,1,17,2,2,2,20,2,10,0,1,456,9328,69049,0,78833,0.875889539,1995,4581.026316,2361.458333,0,3592.970149,91.2,245.4736842,2877.041667,0,1176.61194
Iowa,Midwest,IA,0.427,0.123,368,0.109,0.086,54.81,41,0.914,0.251,0.074,3039465,4,18,7,29,0.24137931,0,0,0,10,0,0,0,0,0,0,0,19,29,2,1,0,0,0,0,6,0,5,2,7,1,4,1,0,3026,7111,39707,0,49844,0.796625471,4875,4088.888889,4897.857143,0,4392.586207,756.5,395.0555556,5672.428571,0,1718.758621
Kansas,Midwest,KS,0.445,0.135,381,0.139,0.115,35.09,45,0.897,0.295,0.102,2848369,1,11,11,23,0.47826087,0,0,0,9,0,0,0,0,0,0,0,14,23,3,0,0,0,1,0,3,0,1,1,10,0,3,0,1,805,5822,23923,0,30550,0.783076923,27500,2518.181818,1995.454545,0,3354.347826,805,529.2727273,2174.818182,0,1328.26087
Kentucky,South,KY,0.466,0.19,812,0.171,0.136,110,47,0.817,0.21,0.085,4359450,8,22,20,50,0.4,0,0,0,11,0,0,0,0,0,0,0,40,51,3,4,0,0,0,0,19,2,1,0,12,5,5,0,0,2557,9411,119452,0,131420,0.908933191,2737.125,5092.409091,4955,10000,4765.294118,319.625,427.7727273,5972.6,0,2576.862745
